price,area,bhk,bathroom
3749000.0,872,2,1.0
9354000.0,1346,3,2.0
15100000.0,2225,3,1.0
4900000.0,1028,2,2.0
4228000.0,588,2,1.0
18800000.0,2221,3,3.0
3800000.0,885,3,1.0
7298999.999999999,936,3,1.0
12500000.0,2275,4,1.0
2456000.0,622,2,1.0
6787000.0,1305,3,1.0
24000000.0,1500,3,3.0
40700000.0,2200,3,1.0
5146000.0,919,2,1.0
6947000.0,965,2,1.0
11300000.0,2343,4,4.0
1800000.0,353,1,1.0
22400000.0,1450,3,1.0
10000000.0,1833,3,1.0
4599000.0,920,2,1.0
7375000.0,1405,3,1.0
45500000.0,2601,4,1.0
39100000.0,2475,4,1.0
8073000.0,1242,2,1.0
3196000.0,969,2,1.0
8130000.0,937,2,1.0
7205000.0,1310,3,1.0
9136000.0,1340,3,1.0
5076000.0,1045,2,2.0
6275000.0,1004,2,1.0
5750000.0,920,2,1.0
5022000.0,1005,2,1.0
2236000.0,713,2,1.0
1980000.0,900,2,1.0
8413000.0,1325,2,1.0
5843000.0,1113,2,1.0
33000000.0,3670,3,1.0
8031999.999999999,1208,2,1.0
29000000.0,1600,3,1.0
4002000.0000000005,870,2,1.0
4207000.0,1275,3,1.0
4861000.0,884,2,1.0
4912000.0,1092,2,1.0
4228000.0,588,2,1.0
5021000.0,1152,2,3.0
4075000.0,910,2,1.0
26100000.0,1548,3,1.0
4704000.0,920,2,2.0
4579000.0,669,2,1.0
3377000.0000000005,866,2,1.0
6569000.0,1381,3,1.0
11800000.0,1740,3,1.0
5031000.0,1450,3,1.0
7870999.999999999,1212,2,1.0
2962000.0,528,2,1.0
8827000.0,1605,3,1.0
4344000.0,932,2,2.0
3304999.9999999995,1002,2,1.0
2956000.0,768,2,1.0
8839000.0,1637,3,1.0
65800000.0,6103,4,1.0
3322999.9999999995,773,2,1.0
8479000.0,1220,3,3.0
13400000.0,1974,3,1.0
6700000.0,1195,3,1.0
7108000.0,1021,2,1.0
18800000.0,2221,3,3.0
3100000.0,730,2,1.0
8303000.0,1101,3,1.0
14600000.0,2669,4,1.0
2014000.0,510,1,1.0
7620000.0,1480,3,1.0
24000000.0,1500,3,1.0
5146000.0,919,2,1.0
6644000.0,923,2,2.0
11200000.0,2323,4,1.0
2900000.0,544,1,1.0
15800000.0,1025,2,1.0
10800000.0,1972,3,1.0
4599000.0,920,2,1.0
7398999.999999999,1410,3,1.0
64400000.0,3681,4,4.0
59300000.0,3750,5,1.0
8970000.0,1380,3,1.0
3975000.0,1205,3,2.0
8170000.0,942,2,1.0
5164000.0,939,2,1.0
6434000.0,945,2,1.0
3740000.0,770,2,1.0
6275000.0,1004,2,1.0
8937000.0,1430,3,1.0
6481999.999999999,1297,3,1.0
2088000.0,663,2,1.0
1980000.0,900,2,1.0
8413000.0,1325,2,1.0
5496000.0,1047,2,1.0
44000000.0,4896,4,1.0
9632000.0,1481,3,1.0
24200000.0,1565,3,1.0
4853000.0,1055,2,1.0
7992000.0,1150,2,2.0
7165000.000000001,1031,2,2.0
5848000.0,951,2,1.0
6481999.999999999,1054,2,1.0
8487000.0,1380,3,1.0
7281000.0,1184,2,1.0
7675000.0,1248,2,1.0
5965000.0,970,2,1.0
8819000.0,1434,3,1.0
2227000.0,518,1,1.0
4291000.0,998,2,1.0
5021000.0,844,2,1.0
5539000.0,931,2,1.0
7128000.0,1004,2,1.0
7242000.0,1020,2,1.0
9400000.0,1324,3,1.0
8690000.0,1224,3,1.0
7781000.0,1096,2,1.0
9478000.0,1335,3,1.0
7348000.0,1035,2,1.0
